orcid,predicted_faculties,prediction_confidence
no_orcid_1723,mint,1
no_orcid_1726,agrar,1
no_orcid_1728,sowi,0.95
no_orcid_1731,med,1
no_orcid_1732,med,1
no_orcid_1733,med,1
no_orcid_1735,mint,1
no_orcid_1736,mint,1
no_orcid_1738,med,0.95
no_orcid_1741,mint,1
no_orcid_1742,mint,1
no_orcid_1743,mint,1
no_orcid_1746,mint,0.95
no_orcid_1747,mint,0.95
no_orcid_1748,sowi,0.9
no_orcid_1749,med,0.9
no_orcid_175,med,0.95
no_orcid_1753,mint,1
no_orcid_1759,med,1
no_orcid_1760,sowi,0.95
no_orcid_1761,sowi,0.95
no_orcid_1763,agrar,1
no_orcid_1764,mint,0.95
no_orcid_1765,mint,0.95
no_orcid_1767,mint,1
no_orcid_1768,mint,0.95
no_orcid_177,med,1
no_orcid_1770,med,1
no_orcid_1771,med,1
no_orcid_1772,med,1
no_orcid_1775,phil,1
no_orcid_1776,med,1
no_orcid_1777,med,1
no_orcid_1778,med,1
no_orcid_1779,med,1
no_orcid_1780,med,1
no_orcid_1781,med,0.95
no_orcid_1782,med,1
no_orcid_179,agrar,1
no_orcid_1792,med,0.95
no_orcid_1802,sowi,0.95
no_orcid_1807,sowi,0.95
no_orcid_1814,agrar,0.95
no_orcid_1815,agrar,0.95
no_orcid_1818,mint,0.95
no_orcid_1821,sowi,0.95
no_orcid_1826,agrar,0.95
no_orcid_1827,med,1
no_orcid_1828,med,1
no_orcid_1831,med,1
no_orcid_1834,mint,1
no_orcid_1837,med,1
no_orcid_1838,med,1
no_orcid_1839,med,1
no_orcid_184,med,1
no_orcid_1840,med,1
no_orcid_1841,mint,0.95
no_orcid_1842,med,1
no_orcid_1843,med,1
no_orcid_1844,med,1
no_orcid_1845,med,1
no_orcid_1848,med,1
no_orcid_1849,med,1
no_orcid_185,med,1
no_orcid_1853,med,1
no_orcid_1857,med,1
no_orcid_1858,med,1
no_orcid_1859,med,1
no_orcid_186,med,1
no_orcid_1860,med,1
no_orcid_1861,med,1
no_orcid_1862,med,1
no_orcid_187,med,1
no_orcid_188,med,1
no_orcid_1889,agrar,1
no_orcid_189,mint,0.95
no_orcid_1894,mint,1
no_orcid_1897,sowi,1
no_orcid_1898,med,1
no_orcid_19,sowi,0.95
no_orcid_190,mint,1
no_orcid_1902,mint,1
no_orcid_1903,mint,1
no_orcid_1904,sowi,0.95
no_orcid_1907,med,1
no_orcid_1908,med,1
no_orcid_1909,med,1
no_orcid_191,med,0.95
no_orcid_1917,agrar,0.95
no_orcid_1918,mint,0.95
no_orcid_1919,phil,0.95
no_orcid_192,med,0.95
no_orcid_1920,sowi,0.95
no_orcid_1921,agrar,0.95
no_orcid_1927,mint,0.95
no_orcid_1928,med,1
no_orcid_193,med,0.95
no_orcid_1935,sowi,0.95
no_orcid_1938,mint,0.95
no_orcid_1939,mint,0.95
no_orcid_194,med,0.95
no_orcid_1940,mint,0.95
no_orcid_1944,mint,0.95
no_orcid_195,med,0.95
no_orcid_1955,jura,1
no_orcid_1957,sowi,0.95
no_orcid_1958,mint,1
no_orcid_1959,sowi,1
no_orcid_196,med,0.95
no_orcid_1964,sowi,0.95
no_orcid_1966,sowi,0.9
no_orcid_1968,sowi,0.5
no_orcid_197,med,0.95
no_orcid_1970,sowi,0.95
no_orcid_1971,sowi,0.95
no_orcid_1972,sowi,0.95
no_orcid_1973,mint,1
no_orcid_1976,mint,1
no_orcid_198,med,0.95
no_orcid_1980,mint,1
no_orcid_1986,sowi,1
no_orcid_1987,sowi,0.95
no_orcid_199,med,0.95
no_orcid_1990,sowi,0.9
no_orcid_1991,agrar,1
no_orcid_1992,agrar,1
no_orcid_1999,med,1
no_orcid_20,jura,1
no_orcid_200,med,0.95
no_orcid_2000,med,1
no_orcid_2001,med,1
no_orcid_2002,med,1
no_orcid_2006,sowi,0.95
no_orcid_2009,agrar,0.95
no_orcid_201,med,1
no_orcid_2010,agrar,0.95
no_orcid_2011,mint,0.95
no_orcid_2012,sowi,0.95
no_orcid_2013,sowi,0.5
no_orcid_2018,agrar,1
no_orcid_202,med,1
no_orcid_2024,phil,0.95
no_orcid_2033,sowi,0.9
no_orcid_2035,sowi,1
no_orcid_2049,mint,0.95
no_orcid_2053,agrar,0.95
no_orcid_2069,sowi,1
no_orcid_207,mint,1
no_orcid_2082,med,1
no_orcid_2084,med,1
no_orcid_2085,med,1
no_orcid_2086,med,1
no_orcid_2087,med,1
no_orcid_2089,med,1
no_orcid_209,mint,0.95
no_orcid_2090,med,1
no_orcid_2091,med,1
no_orcid_2092,med,1
no_orcid_2095,sowi,0.9
no_orcid_2098,mint,1
no_orcid_210,sowi,0.95
no_orcid_2102,sowi,0.9
no_orcid_2103,agrar,0.95
no_orcid_211,mint,0.95
no_orcid_2122,agrar,0.95
no_orcid_2123,mint,1
no_orcid_2124,mint,1
no_orcid_2125,med,1
no_orcid_2138,tech,0.95
no_orcid_2141,sowi,1
no_orcid_2144,mint,1
no_orcid_2145,mint,1
no_orcid_2158,med,1
no_orcid_2165,sowi,0.95
no_orcid_2167,mint,1
no_orcid_2172,sowi,0.95
no_orcid_2174,mint,1
no_orcid_2175,sowi,0.95
no_orcid_2176,sowi,0.95
no_orcid_2179,mint,0.95
no_orcid_218,mint,0.95
no_orcid_2181,mint,1
no_orcid_2186,mint,0.95
no_orcid_2188,sowi,0.9
no_orcid_2191,med,0.95
no_orcid_2192,med,1
no_orcid_2199,agrar,1
no_orcid_220,sowi,0.9
no_orcid_2206,mint,0.95
no_orcid_2209,NA,NA
no_orcid_221,sowi,0.9
no_orcid_2210,sowi,0.95
no_orcid_2211,jura,1
no_orcid_2213,mint,0.9
no_orcid_2216,mint,1
no_orcid_2223,sowi,0.95
no_orcid_2225,med,0.95
no_orcid_2228,sowi,0.95
no_orcid_2229,sowi,0.95
no_orcid_223,mint,1
no_orcid_2232,med,0.95
no_orcid_2233,agrar,0.95
no_orcid_2234,agrar,0.95
no_orcid_2235,sowi,0.95
no_orcid_2238,sowi,0.95
no_orcid_2240,phil,0.95
no_orcid_2241,sowi,0.95
no_orcid_2242,jura,1
no_orcid_2249,med,0.95
no_orcid_2250,jura,1
no_orcid_2251,sowi,0.95
no_orcid_2252,sowi,0.95
no_orcid_2253,mint,0.95
no_orcid_2254,mint,1
no_orcid_2255,sowi,0.95
no_orcid_2257,med,1
no_orcid_226,mint,0.95
no_orcid_2261,sowi,0.95
no_orcid_2271,mint,0.95
no_orcid_2276,rewi,1
no_orcid_2277,med,1
no_orcid_2278,med,1
no_orcid_2279,med,1
no_orcid_2280,med,1
no_orcid_2281,med,1
no_orcid_2282,med,1
no_orcid_229,med,1
no_orcid_2290,med,0.95
no_orcid_2293,med,0.95
no_orcid_2296,mint,0.95
no_orcid_230,sowi,0.95
no_orcid_2301,agrar,0.95
no_orcid_2309,med,0.95
no_orcid_231,sowi,0.95
no_orcid_2310,med,0.95
no_orcid_2311,mint,0.95
no_orcid_2313,agrar,0.95
no_orcid_2319,med,1
no_orcid_2320,med,1
no_orcid_2321,med,1
no_orcid_2322,med,1
no_orcid_2324,med,1
no_orcid_2325,med,1
no_orcid_2328,med,0.95
no_orcid_2329,med,0.95
no_orcid_2330,med,0.95
no_orcid_2339,agrar,1
no_orcid_2340,agrar,1
no_orcid_2341,mint,1
no_orcid_2345,sowi,0.95
no_orcid_235,sowi,0.95
no_orcid_2353,med,1
no_orcid_2355,med,1
no_orcid_2384,med,1
no_orcid_2387,agrar,0.95
no_orcid_2390,sowi,0.95
no_orcid_2391,sowi,0.95
no_orcid_2395,med,0.95
no_orcid_2396,mint,0.95
no_orcid_2399,mint,0.95
no_orcid_24,mint,1
no_orcid_240,mint,1
no_orcid_2402,phil,0.95
no_orcid_2403,sowi,0.95
no_orcid_2404,mint,1
no_orcid_2412,mint,1
no_orcid_2413,mint,1
no_orcid_2414,mint,1
no_orcid_2415,mint,1
no_orcid_2416,sowi,1
no_orcid_2417,mint,1
no_orcid_242,med,1
no_orcid_243,med,1
no_orcid_244,med,1
no_orcid_2440,mint,0.95
no_orcid_2444,sowi,1
no_orcid_2449,sowi,0.95
no_orcid_2450,mint,0.95
no_orcid_2451,mint,0.95
no_orcid_2454,agrar,0.95
no_orcid_246,med,1
no_orcid_2463,sowi,0.95
no_orcid_2465,med,1
no_orcid_2471,mint,0.95
no_orcid_2472,mint,0.95
no_orcid_2473,mint,0.95
no_orcid_2479,med,1
no_orcid_2488,phil,0.95
no_orcid_2491,mint,1
no_orcid_25,sowi,0.95
no_orcid_251,med,1
no_orcid_252,med,1
no_orcid_253,med,1
no_orcid_2533,mint,1
no_orcid_254,med,1
no_orcid_255,med,1
no_orcid_2577,med,0.95
no_orcid_258,med,1
no_orcid_2581,mint,1
no_orcid_2585,mint,0.95
no_orcid_2587,mint,1
no_orcid_2591,agrar,1
no_orcid_2596,agrar,1
no_orcid_2597,med,1
no_orcid_2600,med,1
no_orcid_2605,mint,0.95
no_orcid_2606,mint,0.95
no_orcid_2607,sowi,1
no_orcid_2608,mint,0.95
no_orcid_2609,sowi,0.95
no_orcid_261,sowi,0.9
no_orcid_2610,sowi,0.95
no_orcid_2611,sowi,0.95
no_orcid_2612,sowi,0.95
no_orcid_2613,sowi,0.95
no_orcid_2614,sowi,0.95
no_orcid_2617,phil,1
no_orcid_262,sowi,0.9
no_orcid_2621,sowi,1
no_orcid_2623,mint,0.95
no_orcid_2625,mint,0.95
no_orcid_2634,sowi,0.95
no_orcid_2637,med,1
no_orcid_264,sowi,0.95
no_orcid_2640,sowi,0.9
no_orcid_2641,mint,0.95
no_orcid_2648,med,1
no_orcid_2649,agrar,1
no_orcid_2650,mint,1
no_orcid_2651,mint,0.95
no_orcid_2653,mint,1
no_orcid_2656,mint,1
no_orcid_2659,mint,1
no_orcid_2663,sowi,0.95
no_orcid_2667,med,1
no_orcid_2669,sowi,0.95
no_orcid_267,mint,0.95
no_orcid_2671,agrar,1
no_orcid_2672,sowi,1
no_orcid_2673,med,1
no_orcid_2674,mint,1
no_orcid_2675,mint,1
no_orcid_2677,mint,1
no_orcid_2678,mint,1
no_orcid_2679,mint,0.95
no_orcid_2680,sowi,0.95
no_orcid_2683,sowi,1
no_orcid_2684,sowi,0.95
no_orcid_2685,jura,1
no_orcid_2688,sowi,0.95
no_orcid_2693,med,0.95
no_orcid_2694,mint,1
no_orcid_2695,mint,1
no_orcid_2696,jura,0.95
no_orcid_2697,sowi,0.95
no_orcid_2698,sowi,0.95
no_orcid_2699,sowi,0.95
no_orcid_27,mint,0.95
no_orcid_2700,sowi,1
no_orcid_2708,mint,1
no_orcid_2709,mint,1
no_orcid_271,mint,0.95
no_orcid_2715,med,1
no_orcid_2716,med,1
no_orcid_2717,med,1
no_orcid_2719,med,1
no_orcid_2720,sowi,0.95
no_orcid_2722,mint,1
no_orcid_2727,mint,1
no_orcid_2729,med,1
no_orcid_273,mint,1
no_orcid_2730,med,1
no_orcid_2731,med,1
no_orcid_2732,med,1
no_orcid_2733,med,1
no_orcid_2734,med,1
no_orcid_2735,mint,0.95
no_orcid_2740,mint,1
no_orcid_2750,mint,1
no_orcid_2763,med,1
no_orcid_2764,sowi,0.9
no_orcid_2766,phil,0.95
no_orcid_2767,agrar,0.95
no_orcid_2768,sowi,0.95
no_orcid_277,mint,0.95
no_orcid_2771,med,1
no_orcid_2772,med,1
no_orcid_2773,med,1
no_orcid_2776,med,1
no_orcid_2777,med,1
no_orcid_2779,sowi,1
no_orcid_2782,mint,0.95
no_orcid_2783,mint,0.95
no_orcid_2788,agrar,0.95
no_orcid_2790,med,1
no_orcid_2791,med,1
no_orcid_2795,med,1
no_orcid_2796,med,1
no_orcid_2797,sowi,0.95
no_orcid_2799,agrar,1
no_orcid_2803,mint,1
no_orcid_2809,mint,1
no_orcid_281,phil,0.95
no_orcid_2810,mint,1
no_orcid_2811,sowi,0.95
no_orcid_282,sowi,0.95
no_orcid_2821,med,1
no_orcid_283,sowi,0.95
no_orcid_284,med,1
no_orcid_2858,mint,0.95
no_orcid_2862,mint,1
no_orcid_2867,mint,1
no_orcid_287,med,1
no_orcid_2878,mint,0.95
no_orcid_2879,mint,0.95
no_orcid_2882,sowi,0.95
no_orcid_2885,sowi,0.95
no_orcid_2887,mint,0.95
no_orcid_2893,mint,0.95
no_orcid_2899,mint,1
no_orcid_29,mint,0.95
no_orcid_290,sowi,0.95
no_orcid_2900,mint,1
no_orcid_291,sowi,0.95
no_orcid_2911,mint,0.95
no_orcid_2913,mint,0.95
no_orcid_2915,mint,1
no_orcid_2916,sowi,1
no_orcid_2917,med,1
no_orcid_2926,med,1
no_orcid_2927,phil,1
no_orcid_2929,med,1
no_orcid_2940,mint,0.95
no_orcid_2946,med,1
no_orcid_2950,agrar,0.95
no_orcid_2951,mint,0.95
no_orcid_2952,phil,0.95
no_orcid_2953,agrar,0.95
no_orcid_2954,mint,0.95
no_orcid_2955,mint,1
no_orcid_296,mint,0.95
no_orcid_2960,sowi,0.95
no_orcid_2967,phil,0.95
no_orcid_2972,med,0.95
no_orcid_2975,mint,1
no_orcid_2977,sowi,0.95
no_orcid_2979,sowi,1
no_orcid_2980,agrar,0.95
no_orcid_299,mint,0.95
no_orcid_2991,sowi,0.95
no_orcid_2992,sowi,0.95
no_orcid_2993,mint,0.95
no_orcid_2994,agrar,0.95
no_orcid_2996,agrar,0.95
no_orcid_2997,agrar,0.95
no_orcid_2999,sowi,1
no_orcid_3000,sowi,0.95
no_orcid_3001,sowi,0.95
no_orcid_3005,phil,0.95
no_orcid_3006,sowi,0.95
no_orcid_3018,mint,1
no_orcid_3020,mint,0.95
no_orcid_303,med,1
no_orcid_3071,sowi,0.95
no_orcid_3072,sowi,0.95
no_orcid_3077,agrar,1
no_orcid_3086,med,1
no_orcid_3087,sowi,0.95
no_orcid_3092,mint,0.95
no_orcid_3097,med,0.95
no_orcid_3099,mint,1
no_orcid_3107,tech,1
no_orcid_3109,agrar,0.95
no_orcid_3110,agrar,0.95
no_orcid_3111,mint,0.95
no_orcid_3113,phil,0.95
no_orcid_3114,mint,1
no_orcid_3118,sowi,0.95
no_orcid_3119,sowi,0.95
no_orcid_312,mint,1
no_orcid_3122,med,1
no_orcid_3123,med,1
no_orcid_3127,med,1
no_orcid_313,mint,0.95
no_orcid_3131,sowi,0.95
no_orcid_3132,sowi,0.95
no_orcid_3133,mint,1
no_orcid_3137,phil,0.95
no_orcid_3139,mint,0.95
no_orcid_314,mint,0.95
no_orcid_3140,jura,1
no_orcid_3141,med,0.95
no_orcid_3142,med,0.95
no_orcid_3145,sowi,0.95
no_orcid_3146,rewi,1
no_orcid_3148,agrar,0.95
no_orcid_315,mint,1
no_orcid_3159,mint,0.95
no_orcid_316,phil,0.95
no_orcid_3161,mint,1
no_orcid_317,phil,0.95
no_orcid_3178,mint,1
no_orcid_319,phil,0.95
no_orcid_3194,mint,1
no_orcid_320,sowi,1
no_orcid_321,sowi,0.95
no_orcid_3215,med,1
no_orcid_322,mint,0.95
no_orcid_3221,tech,1
no_orcid_3226,mint,0.95
no_orcid_3228,mint,1
no_orcid_3229,mint,1
no_orcid_3232,mint,1
no_orcid_3235,sowi,0.95
no_orcid_3236,phil,0.95
no_orcid_3242,mint,0.95
no_orcid_3243,mint,0.95
no_orcid_3248,mint,1
no_orcid_3249,mint,0.95
no_orcid_3250,mint,0.95
no_orcid_3253,mint,1
no_orcid_3257,agrar,0.95
no_orcid_3258,med,1
no_orcid_3259,sowi,0.95
no_orcid_326,mint,1
no_orcid_3264,mint,0.95
no_orcid_3269,agrar,0.95
no_orcid_3271,tech,0.95
no_orcid_3279,mint,0.95
no_orcid_328,med,1
no_orcid_3280,mint,0.95
no_orcid_3281,mint,0.95
no_orcid_3293,med,1
no_orcid_3294,mint,0.95
no_orcid_3297,sowi,1
no_orcid_3299,mint,0.95
no_orcid_33,mint,0.95
no_orcid_3302,med,0.95
no_orcid_3303,med,1
no_orcid_3305,med,1
no_orcid_3307,med,1
no_orcid_3308,med,1
no_orcid_3309,med,1
no_orcid_331,sowi,0.95
no_orcid_3310,med,1
no_orcid_3311,med,1
no_orcid_3313,tech,0.95
no_orcid_3314,mint,0.95
no_orcid_3315,jura,1
no_orcid_332,med,0.95
no_orcid_3326,mint,1
no_orcid_3327,mint,0.95
no_orcid_333,med,0.95
no_orcid_3331,sowi,0.95
no_orcid_3339,sowi,0.95
no_orcid_334,med,0.95
no_orcid_3341,agrar,1
no_orcid_3346,mint,1
no_orcid_3347,mint,0.95
no_orcid_335,med,0.95
no_orcid_3355,agrar,1
no_orcid_3357,phil,0.95
no_orcid_3358,phil,0.95
no_orcid_336,med,0.95
no_orcid_3361,med,0.95
no_orcid_3363,mint,1
no_orcid_3365,mint,1
no_orcid_3369,mint,1
no_orcid_337,mint,1
no_orcid_3375,med,1
no_orcid_338,mint,1
no_orcid_3385,sowi,0.95
no_orcid_3386,sowi,0.95
no_orcid_3389,med,1
no_orcid_339,mint,0.95
no_orcid_34,mint,1
no_orcid_340,med,1
no_orcid_3400,med,1
no_orcid_3402,med,1
no_orcid_3404,med,1
no_orcid_3405,med,1
no_orcid_3411,mint,0.95
no_orcid_3412,sowi,0.95
no_orcid_342,med,1
no_orcid_3422,tech,0.95
no_orcid_3424,jura,1
no_orcid_3427,mint,0.95
no_orcid_3430,sowi,0.95
no_orcid_3431,med,1
no_orcid_3432,med,1
no_orcid_3433,med,1
no_orcid_3439,sowi,0.9
no_orcid_345,mint,0.95
no_orcid_3453,agrar,1
no_orcid_3474,mint,0.9
no_orcid_3475,mint,0.95
no_orcid_3485,med,1
no_orcid_3488,med,1
no_orcid_3493,med,1
no_orcid_3494,mint,0.95
no_orcid_3495,mint,0.95
no_orcid_3497,mint,0.95
no_orcid_35,mint,1
no_orcid_3500,med,0.95
no_orcid_3502,sowi,0.9
no_orcid_3504,mint,1
no_orcid_3507,phil,0.95
no_orcid_3508,mint,0.95
no_orcid_3509,mint,0.95
no_orcid_351,mint,1
no_orcid_3510,mint,0.95
no_orcid_3515,sowi,0.95
no_orcid_3518,mint,1
no_orcid_352,mint,0.95
no_orcid_3523,phil,0.95
no_orcid_3526,agrar,0.95
no_orcid_3528,mint,0.95
no_orcid_353,mint,0.95
no_orcid_3530,mint,1
no_orcid_3531,mint,1
no_orcid_3532,phil,0.95
no_orcid_3536,med,1
no_orcid_354,mint,0.95
no_orcid_3540,sowi,0.5
no_orcid_3541,sowi,0.5
no_orcid_3542,phil,0.95
no_orcid_3547,med,1
no_orcid_3567,med,1
no_orcid_3578,med,0.95
no_orcid_3584,tech,0.95
no_orcid_3586,med,1
no_orcid_3591,agrar,1
no_orcid_3597,sowi,0.95
no_orcid_3598,sowi,0.95
no_orcid_36,mint,1
no_orcid_3601,jura,1
no_orcid_3602,mint,0.95
no_orcid_3606,sowi,0.95
no_orcid_3607,jura,1
no_orcid_3609,jura,1
no_orcid_361,agrar,0.95
no_orcid_3610,phil,0.95
no_orcid_3611,agrar,0.95
no_orcid_3612,phil,0.95
no_orcid_3614,mint,0.95
no_orcid_3615,mint,0.95
no_orcid_3617,mint,0.95
no_orcid_3618,mint,0.95
no_orcid_3621,mint,1
no_orcid_3623,mint,0.95
no_orcid_363,med,1
no_orcid_3630,mint,1
no_orcid_3636,med,1
no_orcid_364,med,1
no_orcid_3653,agrar,0.95
no_orcid_3654,agrar,0.95
no_orcid_3655,agrar,0.95
no_orcid_3660,med,0.95
no_orcid_3661,mint,1
no_orcid_367,mint,1
no_orcid_3670,phil,0.95
no_orcid_3671,med,0.95
no_orcid_3681,mint,0.95
no_orcid_37,mint,1
no_orcid_370,med,0.95
no_orcid_3709,mint,0.95
no_orcid_3711,mint,0.95
no_orcid_372,phil,0.95
no_orcid_373,phil,0.95
no_orcid_3744,sowi,0.9
no_orcid_3745,phil,0.95
no_orcid_375,med,0.95
no_orcid_376,med,0.95
no_orcid_3767,phil,0.95
no_orcid_377,med,0.95
no_orcid_3770,mint,1
no_orcid_3773,mint,1
no_orcid_3775,mint,1
no_orcid_3776,phil,0.95
no_orcid_3779,agrar,1
no_orcid_378,med,0.95
no_orcid_3783,agrar,0.95
no_orcid_3784,med,1
no_orcid_3790,mint,0.95
no_orcid_3791,mint,0.95
no_orcid_3792,med,1
no_orcid_38,mint,1
no_orcid_380,agrar,0.95
no_orcid_3800,med,1
no_orcid_3805,med,1
no_orcid_3807,med,0.95
no_orcid_3808,med,0.95
no_orcid_3810,NA,NA
no_orcid_3813,med,0.95
no_orcid_3816,med,1
no_orcid_3817,sowi,1
no_orcid_3818,phil,1
no_orcid_3825,mint,0.9
no_orcid_3834,mint,0.95
no_orcid_3835,mint,0.95
no_orcid_3836,mint,0.95
no_orcid_3839,mint,1
no_orcid_3840,mint,1
no_orcid_3841,mint,1
no_orcid_3847,sowi,0.95
no_orcid_3849,mint,0.95
no_orcid_3853,sowi,0.9
no_orcid_3855,sowi,0.95
no_orcid_3856,jura,1
no_orcid_3857,mint,1
no_orcid_3858,NA,NA
no_orcid_3859,mint,0.95
no_orcid_386,phil,0.95
no_orcid_3862,sowi,1
no_orcid_3864,sowi,0.95
no_orcid_387,phil,0.95
no_orcid_3897,mint,0.95
no_orcid_3899,med,1
no_orcid_39,mint,1
no_orcid_390,sowi,1
no_orcid_3901,sowi,0.95
no_orcid_391,med,0.95
no_orcid_3910,med,1
no_orcid_3913,mint,0.95
no_orcid_3914,mint,0.95
no_orcid_3915,sowi,0.95
no_orcid_3926,med,1
no_orcid_3927,agrar,0.95
no_orcid_3928,med,1
no_orcid_3929,med,1
no_orcid_3930,med,1
no_orcid_3932,med,0.95
no_orcid_3935,med,1
no_orcid_3936,med,1
no_orcid_3937,med,1
no_orcid_3939,mint,1
no_orcid_394,med,0.95
no_orcid_3946,mint,0.95
no_orcid_395,med,0.95
no_orcid_396,med,0.95
no_orcid_3971,mint,0.95
no_orcid_3974,agrar,1
no_orcid_3975,agrar,1
no_orcid_3976,agrar,0.95
no_orcid_3977,med,0.95
no_orcid_3978,phil,0.95
no_orcid_3983,agrar,0.95
no_orcid_3984,mint,0.95
no_orcid_3985,sowi,0.9
no_orcid_3986,mint,0.95
no_orcid_3989,sowi,0.95
no_orcid_3991,mint,1
no_orcid_3992,phil,0.95
no_orcid_3993,mint,1
no_orcid_3997,mint,0.95
no_orcid_40,med,1
no_orcid_400,sowi,0.9
no_orcid_4003,mint,0.95
no_orcid_4012,mint,1
no_orcid_4013,mint,0.95
no_orcid_4017,med,1
no_orcid_402,mint,0.95
no_orcid_4024,mint,0.95
no_orcid_4029,sowi,0.95
no_orcid_4032,med,1
no_orcid_4053,phil,1
no_orcid_4056,mint,1
no_orcid_407,mint,0.95
no_orcid_4071,tech,0.95
no_orcid_4073,tech,0.95
no_orcid_4076,sowi,0.9
no_orcid_408,mint,1
no_orcid_4080,tech,0.95
no_orcid_4082,mint,0.95
no_orcid_4083,med,1
no_orcid_4084,med,1
no_orcid_4085,agrar,1
no_orcid_4086,phil,0.95
no_orcid_4087,sowi,0.95
no_orcid_4088,sowi,0.95
no_orcid_409,agrar,0.95
no_orcid_4092,sowi,0.95
no_orcid_4095,jura,1
no_orcid_4097,rewi,0.95
no_orcid_4098,sowi,0.9
no_orcid_41,med,1
no_orcid_410,agrar,0.95
no_orcid_4101,sowi,0.95
no_orcid_4102,sowi,1
no_orcid_4105,sowi,0.95
no_orcid_4109,sowi,1
no_orcid_411,mint,0.95
no_orcid_4110,sowi,1
no_orcid_4111,med,1
no_orcid_4112,med,1
no_orcid_4113,tech,0.95
no_orcid_4114,tech,0.95
no_orcid_4115,sowi,0.95
no_orcid_412,mint,0.95
no_orcid_413,mint,1
no_orcid_4130,agrar,1
no_orcid_4131,mint,1
no_orcid_4132,mint,1
no_orcid_4135,sowi,0.95
no_orcid_4148,mint,0.95
no_orcid_4149,mint,0.95
no_orcid_4156,mint,0.95
no_orcid_4170,mint,1
no_orcid_4172,sowi,0.95
no_orcid_4180,med,0.95
no_orcid_4184,med,0.95
no_orcid_4185,mint,1
no_orcid_4186,mint,1
no_orcid_419,mint,1
no_orcid_4190,phil,0.95
no_orcid_4191,med,1
no_orcid_4192,med,1
no_orcid_4193,sowi,0.95
no_orcid_4194,mint,0.95
no_orcid_4197,jura,1
no_orcid_4199,med,0.95
no_orcid_42,med,1
no_orcid_420,sowi,0.95
no_orcid_4200,med,1
no_orcid_4203,med,1
no_orcid_4204,med,1
no_orcid_4207,med,1
no_orcid_4208,med,1
no_orcid_4213,med,1
no_orcid_4215,med,1
no_orcid_422,sowi,1
no_orcid_4220,tech,0.95
no_orcid_4229,mint,1
no_orcid_423,mint,1
no_orcid_4230,mint,1
no_orcid_4231,mint,1
no_orcid_4232,mint,1
no_orcid_4247,agrar,0.95
no_orcid_4259,mint,0.95
no_orcid_4260,mint,0.95
no_orcid_4261,med,1
no_orcid_4262,med,1
no_orcid_4263,med,1
no_orcid_4267,mint,1
no_orcid_4269,med,1
no_orcid_4271,agrar,0.95
no_orcid_4276,mint,1
no_orcid_43,tech,0.95
no_orcid_4307,med,1
no_orcid_4308,med,1
no_orcid_4309,med,1
no_orcid_431,phil,1
no_orcid_4310,med,1
no_orcid_4311,sowi,0.95
no_orcid_4312,sowi,1
no_orcid_4315,sowi,0.95
no_orcid_4316,sowi,0.95
no_orcid_4317,sowi,0.95
no_orcid_4326,mint,1
no_orcid_4329,mint,0.95
no_orcid_4340,mint,0.95
no_orcid_435,sowi,0.95
no_orcid_4350,sowi,1
no_orcid_4351,med,1
no_orcid_4352,med,1
no_orcid_4353,med,1
no_orcid_4354,med,1
no_orcid_4355,med,1
no_orcid_436,sowi,0.95
no_orcid_4365,mint,0.95
no_orcid_437,sowi,0.95
no_orcid_4371,med,1
no_orcid_4372,agrar,1
no_orcid_4375,mint,0.9
no_orcid_4376,mint,0.95
no_orcid_4378,med,0.95
no_orcid_438,sowi,0.95
no_orcid_4381,sowi,0.95
no_orcid_4382,sowi,0.95
no_orcid_4384,sowi,0.95
no_orcid_4390,sowi,0.95
no_orcid_4391,sowi,0.95
no_orcid_4400,sowi,0.95
no_orcid_4401,sowi,0.95
no_orcid_4415,mint,0.95
no_orcid_4417,agrar,0.95
no_orcid_4429,mint,0.95
no_orcid_443,mint,0.95
no_orcid_4440,mint,0.95
no_orcid_4443,sowi,0.95
no_orcid_4446,sowi,0.95
no_orcid_4450,med,1
no_orcid_4451,rewi,0.95
no_orcid_4454,phil,0.95
no_orcid_4459,mint,0.95
no_orcid_4461,sowi,0.95
no_orcid_4462,tech,0.95
no_orcid_4463,sowi,0.95
no_orcid_4464,sowi,1
no_orcid_4465,sowi,1
no_orcid_4466,sowi,1
no_orcid_4468,sowi,0.95
no_orcid_4472,mint,0.95
no_orcid_4474,med,1
no_orcid_4476,mint,1
no_orcid_4480,mint,0.95
no_orcid_4486,med,1
no_orcid_4487,mint,0.95
no_orcid_4488,mint,0.95
no_orcid_4494,jura,1
no_orcid_4495,sowi,1
no_orcid_4497,phil,0.95
no_orcid_4499,mint,1
no_orcid_4500,sowi,0.95
no_orcid_451,mint,0.95
no_orcid_4511,sowi,0.95
no_orcid_4512,jura,1
no_orcid_4513,sowi,0.95
no_orcid_4514,sowi,0.95
no_orcid_4515,mint,1
no_orcid_4516,sowi,0.95
no_orcid_4517,sowi,0.95
no_orcid_4518,sowi,0.95
no_orcid_4519,sowi,0.95
no_orcid_452,phil,1
no_orcid_4520,sowi,0.95
no_orcid_4521,sowi,1
no_orcid_4528,sowi,1
no_orcid_453,mint,0.95
no_orcid_4536,med,1
no_orcid_4540,sowi,0.95
no_orcid_4541,sowi,0.95
no_orcid_4544,mint,1
no_orcid_455,mint,0.95
no_orcid_456,mint,0.95
no_orcid_4561,sowi,0.95
no_orcid_4562,sowi,0.95
